x,y
427260.9450293673,6151614.196330395
423837.89945178793,6147344.658618126
429699.7335573379,6147344.6586520085
423837.90075181925,6151614.172408274
428568.93580408144,6149660.578195289
426851.7783159699,6147467.9152729
423837.902213039,6149638.491422216
429699.73357649706,6151614.196330395
426082.9208879496,6148815.565730439
425682.6403416666,6147347.283006729
429431.3122367098,6148589.251450721
423838.47722860146,6148734.737249841
425617.82209523977,6151587.615754602
429699.2492807715,6150770.252959748
423837.90551048133,6150785.890085175
428557.3216616042,6147344.663116564
427719.4574874237,6150793.523372502
426276.43658619287,6150144.423256497
425874.9013162143,6148403.315824209
428498.7755005768,6148613.280536726
424879.0267638004,6147352.875215863
429699.6751221905,6150051.594297591
423837.89950783964,6150417.08644544
428367.3141112535,6151614.196295987
425448.27243240795,6149294.796815799
425404.6220871275,6149765.249795264
429699.73109355994,6148118.531082167
426471.4257085767,6147346.093375692
424918.7280172746,6151614.196193811
423837.89965427766,6149100.543831228
429699.67547590914,6149437.664017112
427525.7993631955,6149802.543141624
423838.00158241397,6147786.6803622125
426580.3438400511,6151160.58226836
427223.0856540342,6148465.484871892
425568.0265359485,6150404.000681377
428840.7265758104,6151534.837327817
429143.9421088048,6147344.658655897
428747.97682562383,6151072.620812279
423837.93266203237,6151187.476567987
428945.9560727543,6149129.377226852
423837.9000400378,6150042.776066171
427847.9882410528,6151614.196330395
428342.69531914743,6150632.188384472
423840.0252971023,6148347.479774057
429696.4347368406,6151175.439467583
427219.82230811095,6150489.54136561
428198.77077856695,6148122.362054177
426678.041015856,6149610.53215001
424976.3548838733,6149181.919272075
428743.74343849526,6150412.13928982
425754.0676942362,6147966.476804833
426369.86123316543,6151614.196330395
427506.69725716166,6147346.473701893
425066.17871779244,6150456.974269737
429699.7335102616,6150444.171756497
424907.12533211586,6148302.56044211
429206.8387184336,6148200.256289259
427584.8691410143,6149272.542701317
429698.9099291014,6149027.651818012
424402.31960637856,6151614.196330395
426272.46233609377,6150720.243246681
426073.84233440575,6147346.389793611
425281.3627000631,6147344.659981822
429281.1079259124,6151614.195084205
426932.2402970979,6149127.824953243
424688.87931349856,6149791.421206339
428165.96996164304,6150130.361754574
424545.68881605286,6148961.057232581
429699.7334090872,6147681.818368511
427474.2917341068,6151219.653849246
424782.1868605738,6151109.258589933
427495.26862034603,6148008.405994908
426163.203166223,6149379.345786576
424542.52396012284,6147933.304948932
427992.02769880363,6147350.079311831
429506.7822548053,6149746.56551493
428907.19043688953,6147777.724198832
424385.0241024083,6147345.2165147085
424538.38448814355,6150491.1776410425
