utm_easting,utm_northing,elevation
412608.26456778066,6243294.096927495,-30.2253865
420126.0240930784,6249437.81386031,-27.917766230769228
421462.0983352123,6234220.947245974,-26.9263955625
405607.50558525574,6235685.267959303,-33.661990071428576
422400.4591489373,6257933.989396961,-26.1773744375
417419.63318798435,6240463.027670222,-29.59628461111111
412628.58050225687,6236356.412997433,-31.506216866666666
424709.7813513633,6241675.390865023,-25.687670214285713
413002.3186880981,6247142.232999724,-29.19979005882353
420369.4214053038,6252781.924195926,-27.5301005
405855.5212035169,6240956.430485341,-32.42155705882353
423023.2142175313,6248216.899434543,-27.60046133333333
418983.2968938627,6243800.031242113,-27.969934066666667
414942.8672484565,6233914.167504605,-30.431471277777778
400408.5971317644,6233938.460447016,-32.32734955555556
424259.006625991,6261415.214629543,-26.217141333333334
417025.9772561986,6251352.822951808,-27.16397471428571
424417.40801130014,6254891.685375607,-28.57954141176471
422524.22214681364,6236042.520591422,-26.565265
410444.90235545544,6239881.907061234,-31.580553470588235
411063.5586365491,6234556.328614881,-31.939494866666667
418207.6319569415,6237622.000176204,-30.134015733333335
409247.1861469736,6244949.9858777765,-30.666470105263155
415181.67713009444,6247330.140737251,-28.53842125
424571.2838875496,6233576.777456246,-24.978871285714288
419968.5258943361,6255384.350448289,-26.098292083333334
422001.60954128386,6239429.60842122,-27.266360076923075
417190.90449239954,6233614.746073087,-29.39336823076923
423698.26215430547,6250879.74142731,-28.29234725
423739.624689171,6244892.119493022,-26.358048375
414478.617974442,6241439.173996635,-30.188934166666666
405430.4063740004,6233379.70455722,-33.65881161111111
415480.92476405145,6237823.254924716,-30.820418615384614
407897.93452765944,6237971.367987021,-32.62175433333333
417264.2830321185,6244563.730191556,-28.462635312499998
423909.86643296666,6239849.317972113,-26.1247805
408689.2590668375,6233315.232504472,-32.72436861538461
402548.9023972767,6236841.725287483,-33.06954
421349.478608919,6243490.84778132,-27.01991658333333
425506.4612578611,6235887.945294111,-24.7766054
417975.6368185607,6245891.370274593,-28.038371733333335
415449.2334843155,6249221.827285734,-28.070271714285717
418459.34740907734,6249684.8591482695,-27.781247
425136.9646342236,6259426.165436428,-26.36686725
422218.15620416217,6245831.217484622,-27.114997941176473
407164.1224420741,6241111.006641396,-32.07147113333333
419784.4602021158,6241290.598095313,-28.373392846153845
420520.6891973097,6236093.864442185,-27.95987969230769
418415.89436088,6253877.295760328,-26.222238142857144
410119.5941022975,6243200.946027556,-30.872022
402664.00522620796,6233229.978604652,-32.73348694117647
419564.05474011414,6232864.654742741,-27.850982625
412213.98265803594,6238685.719967008,-31.432638111111114
404180.8636991557,6238617.7179115,-33.11549086666667
410466.66355323896,6237010.59305257,-32.0811561875
415066.1003444915,6243612.977269188,-29.449909785714286
417704.22760044324,6235246.252308561,-29.727876692307692
424051.7382504684,6257086.926030781,-27.04057894736842
425277.2018904627,6252813.453980141,-28.397698333333334
412719.50159614463,6244617.012753588,-29.874525176470588
407586.02850484225,6235924.603226784,-33.03203317647059
411676.19676941476,6241934.039630025,-30.795888428571427
413402.390955549,6232485.547347465,-30.737592615384617
418131.56933848193,6248692.968749102,-27.88212725
422788.549153826,6253534.50653645,-28.510026166666666
421195.9505557817,6246880.123560274,-27.566063058823527
403658.275599418,6234960.28537649,-33.34887038461538
413728.6523105847,6240293.170075804,-30.687255928571428
422937.521445824,6242535.986199946,-26.473870066666667
421969.23511858325,6255202.086607274,-27.356278999999997
420715.56419318926,6237747.910346162,-28.05451335294118
409447.7698873366,6241069.582382394,-31.536687937499998
423546.22667268594,6237909.512498055,-26.190789866666666
419648.0975298503,6239466.080649046,-28.873412625
416830.47668167355,6242760.111781612,-29.1130633125
415766.2382179268,6235968.59251619,-30.6424376
425515.3195480416,6263365.307744056,-26.36360005882353
406664.96974217164,6238702.341297322,-32.74091557142857
424933.4748943886,6248762.564902441,-27.129086466666664
420179.05311135354,6251015.319474022,-27.83383411111111
410346.8073291765,6232709.902069859,-32.03822616666667
414357.98788414785,6249768.502416743,-27.94524270588235
422152.1332840761,6250784.108280474,-28.253487533333335
415068.2029080068,6251847.71340871,-26.631912399999997
415709.0990815552,6241182.698631157,-29.91018658333333
420211.0434643427,6244807.918613354,-27.425671272727275
414142.7257251631,6246089.76468247,-29.1217016875
408302.06799698394,6242334.177988758,-31.514193769230772
421103.5529246853,6258135.72280566,-25.679886999999997
422534.79218461906,6232685.49832059,-25.982610285714287
410561.5092561311,6246509.900665026,-29.993098611111108
423474.7330151171,6259705.777386056,-26.149654357142857
424747.4056311581,6238793.971096497,-25.582355222222223
417054.89667783835,6253510.668865356,-25.90055716666667
416251.1314833127,6238966.593771669,-30.3957436
414146.6080923756,6235886.001909367,-31.065573285714287
424884.2273247719,6246946.606027919,-26.507309799999998
416484.28751821804,6246461.606122204,-28.358133733333332
413619.9748831358,6233784.25061772,-30.927364285714283
421764.1860272303,6242225.492750397,-27.141219
404300.8813351424,6236898.004364344,-33.4243230625
408010.1055089847,6239965.444283403,-32.13404378571429
419144.6789846468,6252221.877543234,-27.283236846153844
423937.2434314146,6235205.335205764,-25.5731554375
419432.5358105213,6247108.281179732,-27.7777408
420828.3804862066,6256701.884032011,-25.87920791666667
425684.6328431733,6257106.797654322,-27.044251133333333
409126.4919103985,6234117.748162332,-32.598841875
406996.5159324617,6232873.344778168,-33.2748913125
402187.8282276923,6235167.998319381,-32.88262666666667
416666.780385518,6248235.379524387,-28.092268058823528
418389.7445542773,6242019.6107449075,-28.757035000000002
409426.42266894836,6237737.601340487,-32.27661906666667
424564.7510843809,6243450.044017371,-25.71459593333333
418748.50403487805,6234627.365145472,-28.903682733333333
414385.20722419064,6238928.277776525,-30.876514583333332
411671.28281634994,6245024.098214561,-30.052185714285713
416238.35681847885,6233226.785441071,-29.690189642857142
419402.58931685105,6255932.301844896,-25.40601535294118
422305.24498196936,6252769.451045339,-28.365417230769232
